frame_id,scene_id,scene,true_count,pred_count,error,abs_error
98,S1,无遮挡场景,8,8,0,0
99,S1,无遮挡场景,10,10,0,0
100,S1,无遮挡场景,6,6,0,0
101,S2,轻度遮挡场景,8,8,0,0
102,S2,轻度遮挡场景,9,9,0,0
103,S2,轻度遮挡场景,8,8,0,0
104,S2,轻度遮挡场景,12,12,0,0
105,S2,轻度遮挡场景,8,8,0,0
106,S2,轻度遮挡场景,7,7,0,0
107,S2,轻度遮挡场景,10,11,1,1
108,S2,轻度遮挡场景,10,10,0,0
109,S2,轻度遮挡场景,8,8,0,0
110,S2,轻度遮挡场景,10,10,0,0
111,S2,轻度遮挡场景,10,10,0,0
112,S2,轻度遮挡场景,12,12,0,0
113,S2,轻度遮挡场景,9,8,-1,1
114,S2,轻度遮挡场景,12,12,0,0
115,S2,轻度遮挡场景,10,10,0,0
116,S2,轻度遮挡场景,11,11,0,0
117,S2,轻度遮挡场景,11,12,1,1
118,S2,轻度遮挡场景,8,8,0,0
119,S2,轻度遮挡场景,12,10,-2,2
120,S2,轻度遮挡场景,7,7,0,0
121,S2,轻度遮挡场景,7,7,0,0
122,S2,轻度遮挡场景,11,11,0,0
123,S2,轻度遮挡场景,9,9,0,0
124,S2,轻度遮挡场景,7,7,0,0
125,S2,轻度遮挡场景,11,11,0,0
126,S2,轻度遮挡场景,11,11,0,0
127,S2,轻度遮挡场景,9,9,0,0
128,S2,轻度遮挡场景,11,11,0,0
129,S2,轻度遮挡场景,9,9,0,0
130,S2,轻度遮挡场景,8,8,0,0
131,S2,轻度遮挡场景,10,10,0,0
132,S2,轻度遮挡场景,11,11,0,0
133,S2,轻度遮挡场景,11,11,0,0
134,S2,轻度遮挡场景,7,6,-1,1
135,S2,轻度遮挡场景,9,9,0,0
136,S2,轻度遮挡场景,10,10,0,0
137,S2,轻度遮挡场景,10,11,1,1
138,S2,轻度遮挡场景,8,8,0,0
139,S2,轻度遮挡场景,10,10,0,0
140,S2,轻度遮挡场景,11,11,0,0
141,S2,轻度遮挡场景,11,10,-1,1
142,S2,轻度遮挡场景,10,10,0,0
143,S2,轻度遮挡场景,8,8,0,0
144,S2,轻度遮挡场景,12,12,0,0
145,S2,轻度遮挡场景,7,7,0,0
146,S2,轻度遮挡场景,12,11,-1,1
147,S2,轻度遮挡场景,12,12,0,0
148,S2,轻度遮挡场景,10,10,0,0
149,S2,轻度遮挡场景,9,9,0,0
150,S2,轻度遮挡场景,8,8,0,0
151,S2,轻度遮挡场景,10,10,0,0
152,S2,轻度遮挡场景,11,11,0,0
153,S2,轻度遮挡场景,8,8,0,0
154,S2,轻度遮挡场景,9,9,0,0
155,S2,轻度遮挡场景,12,12,0,0
156,S2,轻度遮挡场景,10,10,0,0
157,S2,轻度遮挡场景,7,6,-1,1
158,S2,轻度遮挡场景,7,7,0,0
159,S2,轻度遮挡场景,7,6,-1,1
160,S2,轻度遮挡场景,11,11,0,0
161,S2,轻度遮挡场景,12,12,0,0
162,S2,轻度遮挡场景,11,11,0,0
163,S2,轻度遮挡场景,8,9,1,1
164,S2,轻度遮挡场景,11,11,0,0
165,S2,轻度遮挡场景,9,9,0,0
166,S2,轻度遮挡场景,11,10,-1,1
167,S2,轻度遮挡场景,11,11,0,0
168,S2,轻度遮挡场景,11,11,0,0
169,S2,轻度遮挡场景,11,10,-1,1
170,S2,轻度遮挡场景,8,8,0,0
171,S2,轻度遮挡场景,11,11,0,0
172,S2,轻度遮挡场景,10,10,0,0
173,S2,轻度遮挡场景,12,12,0,0
174,S2,轻度遮挡场景,8,8,0,0
175,S2,轻度遮挡场景,9,9,0,0
176,S2,轻度遮挡场景,12,12,0,0
177,S2,轻度遮挡场景,10,10,0,0
178,S2,轻度遮挡场景,8,6,-2,2
179,S2,轻度遮挡场景,8,8,0,0
180,S2,轻度遮挡场景,7,7,0,0
181,S2,轻度遮挡场景,8,8,0,0
182,S2,轻度遮挡场景,7,7,0,0
183,S2,轻度遮挡场景,7,7,0,0
184,S2,轻度遮挡场景,8,9,1,1
185,S2,轻度遮挡场景,12,12,0,0
186,S2,轻度遮挡场景,11,11,0,0
187,S2,轻度遮挡场景,11,11,0,0
188,S2,轻度遮挡场景,10,10,0,0
189,S2,轻度遮挡场景,10,10,0,0
190,S2,轻度遮挡场景,11,11,0,0
191,S2,轻度遮挡场景,11,11,0,0
192,S2,轻度遮挡场景,8,8,0,0
193,S2,轻度遮挡场景,12,12,0,0
194,S2,轻度遮挡场景,8,8,0,0
195,S2,轻度遮挡场景,11,11,0,0
196,S2,轻度遮挡场景,10,10,0,0
197,S2,轻度遮挡场景,8,8,0,0
198,S2,轻度遮挡场景,10,10,0,0
199,S2,轻度遮挡场景,7,6,-1,1
200,S2,轻度遮挡场景,11,11,0,0
201,S3,密集遮挡场景,12,10,-2,2
202,S3,密集遮挡场景,15,15,0,0
203,S3,密集遮挡场景,10,10,0,0
204,S3,密集遮挡场景,11,13,2,2
205,S3,密集遮挡场景,15,16,1,1
206,S3,密集遮挡场景,16,16,0,0
207,S3,密集遮挡场景,10,10,0,0
208,S3,密集遮挡场景,14,14,0,0
209,S3,密集遮挡场景,14,14,0,0
210,S3,密集遮挡场景,13,13,0,0
211,S3,密集遮挡场景,10,10,0,0
212,S3,密集遮挡场景,12,11,-1,1
213,S3,密集遮挡场景,16,16,0,0
214,S3,密集遮挡场景,10,10,0,0
215,S3,密集遮挡场景,16,18,2,2
216,S3,密集遮挡场景,11,9,-2,2
217,S3,密集遮挡场景,16,16,0,0
218,S3,密集遮挡场景,13,13,0,0
219,S3,密集遮挡场景,12,11,-1,1
220,S3,密集遮挡场景,10,10,0,0
221,S3,密集遮挡场景,11,11,0,0
222,S3,密集遮挡场景,14,14,0,0
223,S3,密集遮挡场景,16,16,0,0
224,S3,密集遮挡场景,10,10,0,0
225,S3,密集遮挡场景,12,12,0,0
226,S3,密集遮挡场景,11,11,0,0
227,S3,密集遮挡场景,13,12,-1,1
228,S3,密集遮挡场景,12,12,0,0
229,S3,密集遮挡场景,13,13,0,0
230,S3,密集遮挡场景,11,11,0,0
231,S3,密集遮挡场景,12,10,-2,2
232,S3,密集遮挡场景,15,13,-2,2
233,S3,密集遮挡场景,11,11,0,0
234,S3,密集遮挡场景,13,13,0,0
235,S3,密集遮挡场景,16,16,0,0
236,S3,密集遮挡场景,16,16,0,0
237,S3,密集遮挡场景,12,11,-1,1
238,S3,密集遮挡场景,11,11,0,0
239,S3,密集遮挡场景,12,12,0,0
240,S3,密集遮挡场景,14,14,0,0
241,S3,密集遮挡场景,12,11,-1,1
242,S3,密集遮挡场景,12,12,0,0
243,S3,密集遮挡场景,15,15,0,0
244,S3,密集遮挡场景,11,11,0,0
245,S3,密集遮挡场景,15,15,0,0
246,S3,密集遮挡场景,10,9,-1,1
247,S3,密集遮挡场景,11,11,0,0
248,S3,密集遮挡场景,13,13,0,0
249,S3,密集遮挡场景,12,13,1,1
250,S3,密集遮挡场景,13,13,0,0
251,S3,密集遮挡场景,11,10,-1,1
252,S3,密集遮挡场景,12,12,0,0
253,S3,密集遮挡场景,10,10,0,0
254,S3,密集遮挡场景,16,16,0,0
255,S3,密集遮挡场景,11,12,1,1
256,S3,密集遮挡场景,11,10,-1,1
257,S3,密集遮挡场景,14,14,0,0
258,S3,密集遮挡场景,15,15,0,0
259,S3,密集遮挡场景,10,10,0,0
260,S3,密集遮挡场景,14,15,1,1
261,S3,密集遮挡场景,15,15,0,0
262,S3,密集遮挡场景,15,15,0,0
263,S3,密集遮挡场景,10,10,0,0
264,S3,密集遮挡场景,13,13,0,0
265,S3,密集遮挡场景,15,16,1,1
266,S3,密集遮挡场景,11,11,0,0
267,S3,密集遮挡场景,16,16,0,0
268,S3,密集遮挡场景,15,13,-2,2
269,S3,密集遮挡场景,12,12,0,0
270,S3,密集遮挡场景,12,12,0,0
271,S3,密集遮挡场景,15,15,0,0
272,S3,密集遮挡场景,15,15,0,0
273,S3,密集遮挡场景,13,13,0,0
274,S3,密集遮挡场景,11,11,0,0
275,S3,密集遮挡场景,14,14,0,0
276,S3,密集遮挡场景,11,11,0,0
277,S3,密集遮挡场景,14,14,0,0
278,S3,密集遮挡场景,10,10,0,0
279,S3,密集遮挡场景,16,16,0,0
280,S3,密集遮挡场景,16,16,0,0
281,S3,密集遮挡场景,13,13,0,0
282,S3,密集遮挡场景,14,14,0,0
283,S3,密集遮挡场景,16,15,-1,1
284,S3,密集遮挡场景,11,11,0,0
285,S3,密集遮挡场景,14,14,0,0
286,S3,密集遮挡场景,13,12,-1,1
287,S3,密集遮挡场景,16,16,0,0
288,S3,密集遮挡场景,10,9,-1,1
289,S3,密集遮挡场景,16,15,-1,1
290,S3,密集遮挡场景,13,13,0,0
291,S3,密集遮挡场景,13,13,0,0
292,S3,密集遮挡场景,11,11,0,0
293,S3,密集遮挡场景,13,14,1,1
294,S3,密集遮挡场景,11,10,-1,1
295,S3,密集遮挡场景,11,11,0,0
296,S3,密集遮挡场景,16,16,0,0
297,S3,密集遮挡场景,12,12,0,0
298,S3,密集遮挡场景,11,11,0,0
299,S3,密集遮挡场景,11,10,-1,1
300,S3,密集遮挡场景,16,16,0,0
301,S4,目标进出画面场景,6,6,0,0
302,S4,目标进出画面场景,7,7,0,0
303,S4,目标进出画面场景,5,5,0,0
304,S4,目标进出画面场景,5,5,0,0
305,S4,目标进出画面场景,7,8,1,1
306,S4,目标进出画面场景,7,7,0,0
307,S4,目标进出画面场景,8,8,0,0
308,S4,目标进出画面场景,7,7,0,0
309,S4,目标进出画面场景,6,6,0,0
310,S4,目标进出画面场景,8,8,0,0
311,S4,目标进出画面场景,8,7,-1,1
312,S4,目标进出画面场景,9,9,0,0
313,S4,目标进出画面场景,7,7,0,0
314,S4,目标进出画面场景,8,9,1,1
315,S4,目标进出画面场景,8,8,0,0
316,S4,目标进出画面场景,7,7,0,0
317,S4,目标进出画面场景,7,7,0,0
318,S4,目标进出画面场景,9,10,1,1
319,S4,目标进出画面场景,9,9,0,0
320,S4,目标进出画面场景,9,9,0,0
321,S4,目标进出画面场景,8,8,0,0
322,S4,目标进出画面场景,9,9,0,0
323,S4,目标进出画面场景,10,10,0,0
324,S4,目标进出画面场景,9,9,0,0
325,S4,目标进出画面场景,10,10,0,0
326,S4,目标进出画面场景,10,10,0,0
327,S4,目标进出画面场景,10,10,0,0
328,S4,目标进出画面场景,10,9,-1,1
329,S4,目标进出画面场景,10,10,0,0
330,S4,目标进出画面场景,10,10,0,0
331,S4,目标进出画面场景,11,10,-1,1
332,S4,目标进出画面场景,10,10,0,0
333,S4,目标进出画面场景,10,10,0,0
334,S4,目标进出画面场景,9,8,-1,1
335,S4,目标进出画面场景,10,10,0,0
336,S4,目标进出画面场景,10,10,0,0
337,S4,目标进出画面场景,12,12,0,0
338,S4,目标进出画面场景,10,10,0,0
339,S4,目标进出画面场景,11,11,0,0
340,S4,目标进出画面场景,11,11,0,0
341,S4,目标进出画面场景,12,12,0,0
342,S4,目标进出画面场景,10,12,2,2
343,S4,目标进出画面场景,11,11,0,0
344,S4,目标进出画面场景,11,11,0,0
345,S4,目标进出画面场景,11,11,0,0
346,S4,目标进出画面场景,11,11,0,0
347,S4,目标进出画面场景,10,10,0,0
348,S4,目标进出画面场景,11,11,0,0
349,S4,目标进出画面场景,11,11,0,0
350,S4,目标进出画面场景,11,11,0,0
351,S4,目标进出画面场景,12,12,0,0
352,S4,目标进出画面场景,11,11,0,0
353,S4,目标进出画面场景,10,10,0,0
354,S4,目标进出画面场景,10,10,0,0
355,S4,目标进出画面场景,10,8,-2,2
356,S4,目标进出画面场景,11,11,0,0
357,S4,目标进出画面场景,12,13,1,1
358,S4,目标进出画面场景,12,12,0,0
359,S4,目标进出画面场景,11,11,0,0
360,S4,目标进出画面场景,11,11,0,0
361,S4,目标进出画面场景,10,11,1,1
362,S4,目标进出画面场景,11,11,0,0
363,S4,目标进出画面场景,10,10,0,0
364,S4,目标进出画面场景,11,11,0,0
365,S4,目标进出画面场景,11,11,0,0
366,S4,目标进出画面场景,11,11,0,0
367,S4,目标进出画面场景,11,11,0,0
368,S4,目标进出画面场景,10,10,0,0
369,S4,目标进出画面场景,11,11,0,0
370,S4,目标进出画面场景,10,8,-2,2
371,S4,目标进出画面场景,11,10,-1,1
372,S4,目标进出画面场景,11,11,0,0
373,S4,目标进出画面场景,11,11,0,0
374,S4,目标进出画面场景,11,11,0,0
375,S4,目标进出画面场景,10,10,0,0
376,S4,目标进出画面场景,9,9,0,0
377,S4,目标进出画面场景,9,9,0,0
378,S4,目标进出画面场景,10,11,1,1
379,S4,目标进出画面场景,9,9,0,0
380,S4,目标进出画面场景,9,9,0,0
381,S4,目标进出画面场景,9,9,0,0
382,S4,目标进出画面场景,10,10,0,0
383,S4,目标进出画面场景,10,10,0,0
384,S4,目标进出画面场景,7,6,-1,1
385,S4,目标进出画面场景,9,9,0,0
386,S4,目标进出画面场景,8,8,0,0
387,S4,目标进出画面场景,9,9,0,0
388,S4,目标进出画面场景,9,9,0,0
389,S4,目标进出画面场景,8,8,0,0
390,S4,目标进出画面场景,9,9,0,0
391,S4,目标进出画面场景,6,7,1,1
392,S4,目标进出画面场景,8,8,0,0
393,S4,目标进出画面场景,7,7,0,0
394,S4,目标进出画面场景,6,7,1,1
395,S4,目标进出画面场景,6,5,-1,1
396,S4,目标进出画面场景,7,7,0,0
397,S4,目标进出画面场景,5,5,0,0
398,S4,目标进出画面场景,7,7,0,0
399,S4,目标进出画面场景,6,6,0,0
400,S4,目标进出画面场景,6,6,0,0
